//  MINLP written by GAMS Convert at 04/07/20 12:05:45
//  
//  Equation counts
//      Total        E        G        L        N        X        C        B
//        766      221       63      482        0        0        0        0
//  
//  Variable counts
//                   x        b        i      s1s      s2s       sc       si
//      Total     cont   binary  integer     sos1     sos2    scont     sint
//        570      510       60        0        0        0        0        0
//  FX      0        0        0        0        0        0        0        0
//  
//  Nonzero counts
//      Total    const       NL      DLL
//       2265     1965      300        0
//
// Reformulation has removed 1 variable and 1 equation
//

OPTIONS{
EpsA: 1e-9;
EpsR: 1e-5;
MaxIter: 1000000;
MaxTime: 3600;
Threads: 1;
GamsCntr: "/home/bernalde/Repositories/conic_disjunctive/225k/gamscntr.dat";
TimName: "/home/bernalde/Repositories/conic_disjunctive/225k/tim.dat";
ResName: "/home/bernalde/Repositories/conic_disjunctive/225k/res.dat";
SumName: "/home/bernalde/Repositories/conic_disjunctive/225k/sum.dat";
OptName: "/home/bernalde/Repositories/conic_disjunctive/225k/opt.dat";
cplexlibname: "/home/bernalde/gams/gams28.2_linux_x64_64_sfx/libcplex.so";
xprslibname: "/home/bernalde/gams/gams28.2_linux_x64_64_sfx/libxprs.so";
}

BINARY_VARIABLES  b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18
          ,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35
          ,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52
          ,b53,b54,b55,b56,b57,b58,b59,b60,b61;

VARIABLES  x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78
          ,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95
          ,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109
          ,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122
e660:  - 1.73205080756888*b20 + x469 <= 0;

e661:  - 1.73205080756888*b21 + x470 <= 0;

e662:  - 1.73205080756888*b22 + x471 <= 0;

e663:  - 1.73205080756888*b23 + x472 <= 0;

e664:  - 1.73205080756888*b24 + x473 <= 0;

e665:  - 1.73205080756888*b25 + x474 <= 0;

e666:  - 1.73205080756888*b26 + x475 <= 0;

e667:  - 1.73205080756888*b27 + x476 <= 0;

e668:  - 1.73205080756888*b28 + x477 <= 0;

e669:  - 1.73205080756888*b29 + x478 <= 0;

e670:  - 1.73205080756888*b30 + x479 <= 0;

e671:  - 1.73205080756888*b31 + x480 <= 0;

e672:  - 1.73205080756888*b32 + x481 <= 0;

e673:  - 1.73205080756888*b33 + x482 <= 0;

e674:  - 1.73205080756888*b34 + x483 <= 0;

e675:  - 1.73205080756888*b35 + x484 <= 0;

e676:  - 1.73205080756888*b36 + x485 <= 0;

e677:  - 1.73205080756888*b37 + x486 <= 0;

e678:  - 1.73205080756888*b38 + x487 <= 0;

e679:  - 1.73205080756888*b39 + x488 <= 0;

e680:  - 1.73205080756888*b40 + x489 <= 0;

e681:  - 1.73205080756888*b41 + x490 <= 0;

e682:  - 1.73205080756888*b42 + x491 <= 0;

e683:  - 1.73205080756888*b43 + x492 <= 0;

e684:  - 1.73205080756888*b44 + x493 <= 0;

e685:  - 1.73205080756888*b45 + x494 <= 0;

e686:  - 1.73205080756888*b46 + x495 <= 0;

e687:  - 1.73205080756888*b47 + x496 <= 0;

e688:  - 1.73205080756888*b48 + x497 <= 0;

e689:  - 1.73205080756888*b49 + x498 <= 0;

e690:  - 1.73205080756888*b50 + x499 <= 0;

e691:  - 1.73205080756888*b51 + x500 <= 0;

e692:  - 1.73205080756888*b52 + x501 <= 0;

e693:  - 1.73205080756888*b53 + x502 <= 0;

e694:  - 1.73205080756888*b54 + x503 <= 0;

e695:  - 1.73205080756888*b55 + x504 <= 0;

e696:  - 1.73205080756888*b56 + x505 <= 0;

e697:  - 1.73205080756888*b57 + x506 <= 0;

e698:  - 1.73205080756888*b58 + x507 <= 0;

e699:  - 1.73205080756888*b59 + x508 <= 0;

e700:  - 1.73205080756888*b60 + x509 <= 0;

e701:  - 1.73205080756888*b61 + x510 <= 0;

e702:    x82 - x85 <= 0;

e703:    x85 - x88 <= 0;

e704:    b2 + b5 + b8 + b11 + b14 + b17 + b20 + b23 + b26 + b29 + b32 + b35
       + b38 + b41 + b44 + b47 + b50 + b53 + b56 + b59 >= 1;

e705:    b3 + b6 + b9 + b12 + b15 + b18 + b21 + b24 + b27 + b30 + b33 + b36
       + b39 + b42 + b45 + b48 + b51 + b54 + b57 + b60 >= 1;

e706:    b4 + b7 + b10 + b13 + b16 + b19 + b22 + b25 + b28 + b31 + b34 + b37
       + b40 + b43 + b46 + b49 + b52 + b55 + b58 + b61 >= 1;

e707:    0.959911873032902*b2 - 1.612014264*x91 - 0.345666056*x92
       - 1.059043192*x93 - x451 + x511 <= 0;

e708:    0.959911873032902*b3 - 1.612014264*x94 - 0.345666056*x95
       - 1.059043192*x96 - x452 + x512 <= 0;

e709:    0.959911873032902*b4 - 1.612014264*x97 - 0.345666056*x98
       - 1.059043192*x99 - x453 + x513 <= 0;

e710:    0.921833173888808*b5 - 0.297746088*x100 - 1.296526714*x101
       - 1.384809894*x102 - x454 + x514 <= 0;

e711:    0.921833173888808*b6 - 0.297746088*x103 - 1.296526714*x104
       - 1.384809894*x105 - x455 + x515 <= 0;

e712:    0.921833173888808*b7 - 0.297746088*x106 - 1.296526714*x107
       - 1.384809894*x108 - x456 + x516 <= 0;

e713:    0.310481291128006*b8 - 0.704435168*x109 - 0.040311414*x110
       - 0.862595646*x111 - x457 + x517 <= 0;

e714:    0.310481291128006*b9 - 0.704435168*x112 - 0.040311414*x113
       - 0.862595646*x114 - x458 + x518 <= 0;

e715:    0.310481291128006*b10 - 0.704435168*x115 - 0.040311414*x116
       - 0.862595646*x117 - x459 + x519 <= 0;

e716:    1.3170808406994*b11 - 1.107119698*x118 - 1.281732494*x119
       - 1.549119476*x120 - x460 + x520 <= 0;

e717:    1.3170808406994*b12 - 1.107119698*x121 - 1.281732494*x122
       - 1.549119476*x123 - x461 + x521 <= 0;

e718:    1.3170808406994*b13 - 1.107119698*x124 - 1.281732494*x125
       - 1.549119476*x126 - x462 + x522 <= 0;

e719:    0.736825628358583*b14 - 0.470900518*x127 - 1.561489574*x128
       - 0.536008886*x129 - x463 + x523 <= 0;

e720:    0.736825628358583*b15 - 0.470900518*x130 - 1.561489574*x131
       - 0.536008886*x132 - x464 + x524 <= 0;

e721:    0.736825628358583*b16 - 0.470900518*x133 - 1.561489574*x134
       - 0.536008886*x135 - x465 + x525 <= 0;

e722:    0.967015446282546*b17 - 0.163169398*x136 - 1.946558648*x137
       - 0.228794586*x138 - x466 + x526 <= 0;

e723:    0.967015446282546*b18 - 0.163169398*x139 - 1.946558648*x140
       - 0.228794586*x141 - x467 + x527 <= 0;

e724:    0.967015446282546*b19 - 0.163169398*x142 - 1.946558648*x143
       - 0.228794586*x144 - x468 + x528 <= 0;

e725:    1.78128670232525*b20 - 1.748611698*x145 - 1.334211202*x146
       - 1.512410132*x147 - x469 + x529 <= 0;

e726:    1.78128670232525*b21 - 1.748611698*x148 - 1.334211202*x149
       - 1.512410132*x150 - x470 + x530 <= 0;

e727:    1.78128670232525*b22 - 1.748611698*x151 - 1.334211202*x152
       - 1.512410132*x153 - x471 + x531 <= 0;

e728:    1.03351346568819*b23 - 1.935411496*x154 - 0.3972521*x155
       - 0.480028096*x156 - x472 + x532 <= 0;

e729:    1.03351346568819*b24 - 1.935411496*x157 - 0.3972521*x158
       - 0.480028096*x159 - x473 + x533 <= 0;

e730:    1.03351346568819*b25 - 1.935411496*x160 - 0.3972521*x161
       - 0.480028096*x162 - x474 + x534 <= 0;

e731:    1.09387549686466*b26 - 0.43980546*x163 - 0.522024944*x164
       - 1.977261516*x165 - x475 + x535 <= 0;

e732:    1.09387549686466*b27 - 0.43980546*x166 - 0.522024944*x167
       - 1.977261516*x168 - x476 + x536 <= 0;

e733:    1.09387549686466*b28 - 0.43980546*x169 - 0.522024944*x170
       - 1.977261516*x171 - x477 + x537 <= 0;

e734:    0.898870637320077*b29 - 0.34311196*x172 - 0.132509812*x173
       - 1.860160714*x174 - x478 + x538 <= 0;

e735:    0.898870637320077*b30 - 0.34311196*x175 - 0.132509812*x176
       - 1.860160714*x177 - x479 + x539 <= 0;

e736:    0.898870637320077*b31 - 0.34311196*x178 - 0.132509812*x179
       - 1.860160714*x180 - x480 + x540 <= 0;

e737:    1.35359355709773*b32 - 1.612052942*x181 - 1.664691012*x182
       - 0.210863404*x183 - x481 + x541 <= 0;

e738:    1.35359355709773*b33 - 1.612052942*x184 - 1.664691012*x185
       - 0.210863404*x186 - x482 + x542 <= 0;

e739:    1.35359355709773*b34 - 1.612052942*x187 - 1.664691012*x188
       - 0.210863404*x189 - x483 + x543 <= 0;

e740:    0.0621592966948634*b35 - 0.058042862*x190 - 0.45854357*x191
       - 0.187098924*x192 - x484 + x544 <= 0;

e741:    0.0621592966948634*b36 - 0.058042862*x193 - 0.45854357*x194
       - 0.187098924*x195 - x485 + x545 <= 0;

e742:    0.0621592966948634*b37 - 0.058042862*x196 - 0.45854357*x197
       - 0.187098924*x198 - x486 + x546 <= 0;

e743:    1.02346372843774*b38 - 0.259653204*x199 - 1.806430462*x200
       - 0.873638434*x201 - x487 + x547 <= 0;

e744:    1.02346372843774*b39 - 0.259653204*x202 - 1.806430462*x203
       - 0.873638434*x204 - x488 + x548 <= 0;

e745:    1.02346372843774*b40 - 0.259653204*x205 - 1.806430462*x206
       - 0.873638434*x207 - x489 + x549 <= 0;

e746:    0.921384899184241*b41 - 1.45512049*x208 - 0.495080348*x209
       - 1.150243194*x210 - x490 + x550 <= 0;

e747:    0.921384899184241*b42 - 1.45512049*x211 - 0.495080348*x212
       - 1.150243194*x213 - x491 + x551 <= 0;

e748:    0.921384899184241*b43 - 1.45512049*x214 - 0.495080348*x215
       - 1.150243194*x216 - x492 + x552 <= 0;

e749:    0.900549419548324*b44 - 0.720248974*x217 - 1.032560588*x218
       - 1.420301984*x219 - x493 + x553 <= 0;

e750:    0.900549419548324*b45 - 0.720248974*x220 - 1.032560588*x221
       - 1.420301984*x222 - x494 + x554 <= 0;

e751:    0.900549419548324*b46 - 0.720248974*x223 - 1.032560588*x224
       - 1.420301984*x225 - x495 + x555 <= 0;

e752:    1.60850667849768*b47 - 1.492016946*x226 - 1.407342374*x227
       - 1.492414014*x228 - x496 + x556 <= 0;

e753:    1.60850667849768*b48 - 1.492016946*x229 - 1.407342374*x230
       - 1.492414014*x231 - x497 + x557 <= 0;

e754:    1.60850667849768*b49 - 1.492016946*x232 - 1.407342374*x233
       - 1.492414014*x234 - x498 + x558 <= 0;

e755:    1.57724567760131*b50 - 0.37034892*x235 - 1.871661248*x236
       - 1.633618242*x237 - x499 + x559 <= 0;

e756:    1.57724567760131*b51 - 0.37034892*x238 - 1.871661248*x239
       - 1.633618242*x240 - x500 + x560 <= 0;

e757:    1.57724567760131*b52 - 0.37034892*x241 - 1.871661248*x242
       - 1.633618242*x243 - x501 + x561 <= 0;

e758:    1.00182595613736*b53 - 1.346756988*x244 - 0.926993878*x245
       - 1.155089516*x246 - x502 + x562 <= 0;

e759:    1.00182595613736*b54 - 1.346756988*x247 - 0.926993878*x248
       - 1.155089516*x249 - x503 + x563 <= 0;

e760:    1.00182595613736*b55 - 1.346756988*x250 - 0.926993878*x251
       - 1.155089516*x252 - x504 + x564 <= 0;

e761:    1.38687269937033*b56 - 0.178641208*x253 - 1.313763138*x254
       - 1.946690662*x255 - x505 + x565 <= 0;

e762:    1.38687269937033*b57 - 0.178641208*x256 - 1.313763138*x257
       - 1.946690662*x258 - x506 + x566 <= 0;

e763:    1.38687269937033*b58 - 0.178641208*x259 - 1.313763138*x260
       - 1.946690662*x261 - x507 + x567 <= 0;

e764:    1.28308659187516*b59 - 1.381188716*x262 - 1.788980984*x263
       - 0.155599284*x264 - x508 + x568 <= 0;

e765:    1.28308659187516*b60 - 1.381188716*x265 - 1.788980984*x266
       - 0.155599284*x267 - x509 + x569 <= 0;

e766:    1.28308659187516*b61 - 1.381188716*x268 - 1.788980984*x269
       - 0.155599284*x270 - x510 + x570 <= 0;

OBJ: minimize    x62 + x63 + x64 + x65 + x66 + x67 + x68 + x69 + x70 + x71
               + x72 + x73 + x74 + x75 + x76 + x77 + x78 + x79 + x80 + x81;

STARTING_POINT{
b2: 1;
b3: 1;
b4: 1;
b5: 1;
b6: 1;
b7: 1;
b8: 1;
b9: 1;
b10: 1;
b11: 1;
b12: 1;
b13: 1;
b14: 1;
b15: 1;
b16: 1;
b17: 1;
b18: 1;
b19: 1;
b20: 1;
b21: 1;
b22: 1;
b23: 1;
b24: 1;
b25: 1;
b26: 1;
b27: 1;
b28: 1;
b29: 1;
b30: 1;
b31: 1;
b32: 1;
b33: 1;
b34: 1;
b35: 1;
b36: 1;
b37: 1;
b38: 1;
b39: 1;
b40: 1;
b41: 1;
b42: 1;
b43: 1;
b44: 1;
b45: 1;
b46: 1;
b47: 1;
b48: 1;
b49: 1;
b50: 1;
b51: 1;
b52: 1;
b53: 1;
b54: 1;
b55: 1;
b56: 1;
b57: 1;
b58: 1;
b59: 1;
b60: 1;
b61: 1;
x62: 0.866025403784439;
x63: 0.866025403784439;
x64: 0.866025403784439;
x65: 0.866025403784439;
x66: 0.866025403784439;
x67: 0.866025403784439;
x68: 0.866025403784439;
x69: 0.866025403784439;
x70: 0.866025403784439;
x71: 0.866025403784439;
x72: 0.866025403784439;
x73: 0.866025403784439;
x74: 0.866025403784439;
x75: 0.866025403784439;
x76: 0.866025403784439;
x77: 0.866025403784439;
x78: 0.866025403784439;
x79: 0.866025403784439;
x80: 0.866025403784439;
x81: 0.866025403784439;
x82: 0.5;
x83: 0.5;
x84: 0.5;
x85: 0.5;
x86: 0.5;
x87: 0.5;
x88: 0.5;
x89: 0.5;
x90: 0.5;
x91: 0.5;
x92: 0.5;
x93: 0.5;
x94: 0.5;
x95: 0.5;
x96: 0.5;
x97: 0.5;
x98: 0.5;
x99: 0.5;
x100: 0.5;
x101: 0.5;
x102: 0.5;
x103: 0.5;
x104: 0.5;
x105: 0.5;
x106: 0.5;
x107: 0.5;
x108: 0.5;
x109: 0.5;
x110: 0.5;
x111: 0.5;
x112: 0.5;
x113: 0.5;
x114: 0.5;
x115: 0.5;
x116: 0.5;
x117: 0.5;
x118: 0.5;
x119: 0.5;
x120: 0.5;
x121: 0.5;
x122: 0.5;
x123: 0.5;
x124: 0.5;
x125: 0.5;
x126: 0.5;
x127: 0.5;
x128: 0.5;
x129: 0.5;
x130: 0.5;
x131: 0.5;
x132: 0.5;
x133: 0.5;
x134: 0.5;
x135: 0.5;
x136: 0.5;
x137: 0.5;
x138: 0.5;
x139: 0.5;
x140: 0.5;
x141: 0.5;
x142: 0.5;
x143: 0.5;
x144: 0.5;
x145: 0.5;
x146: 0.5;
x147: 0.5;
x148: 0.5;
x149: 0.5;
x150: 0.5;
x151: 0.5;
x152: 0.5;
x153: 0.5;
x154: 0.5;
x155: 0.5;
x156: 0.5;
x157: 0.5;
x158: 0.5;
x159: 0.5;
x160: 0.5;
x161: 0.5;
x162: 0.5;
x163: 0.5;
x164: 0.5;
x165: 0.5;
x166: 0.5;
x167: 0.5;
x168: 0.5;
x169: 0.5;
x170: 0.5;
x171: 0.5;
x172: 0.5;
x173: 0.5;
x174: 0.5;
x175: 0.5;
x176: 0.5;
x177: 0.5;
x178: 0.5;
x179: 0.5;
x180: 0.5;
x181: 0.5;
x182: 0.5;
x183: 0.5;
x184: 0.5;
x185: 0.5;
x186: 0.5;
x187: 0.5;
x188: 0.5;
x189: 0.5;
x190: 0.5;
x191: 0.5;
x192: 0.5;
x193: 0.5;
x194: 0.5;
x195: 0.5;
x196: 0.5;
x197: 0.5;
x198: 0.5;
x199: 0.5;
x200: 0.5;
x201: 0.5;
x202: 0.5;
x203: 0.5;
x204: 0.5;
x205: 0.5;
x206: 0.5;
x207: 0.5;
x208: 0.5;
x209: 0.5;
x210: 0.5;
x211: 0.5;
x212: 0.5;
x213: 0.5;
x214: 0.5;
x215: 0.5;
x216: 0.5;
x217: 0.5;
x218: 0.5;
x219: 0.5;
x220: 0.5;
x221: 0.5;
x222: 0.5;
x223: 0.5;
x224: 0.5;
x225: 0.5;
x226: 0.5;
x227: 0.5;
x228: 0.5;
x229: 0.5;
x230: 0.5;
x231: 0.5;
x232: 0.5;
x233: 0.5;
x234: 0.5;
x235: 0.5;
x236: 0.5;
x237: 0.5;
x238: 0.5;
x239: 0.5;
x240: 0.5;
x241: 0.5;
x242: 0.5;
x243: 0.5;
x244: 0.5;
x245: 0.5;
x246: 0.5;
x247: 0.5;
x248: 0.5;
x249: 0.5;
x250: 0.5;
x251: 0.5;
x252: 0.5;
x253: 0.5;
x254: 0.5;
x255: 0.5;
x256: 0.5;
x257: 0.5;
x258: 0.5;
x259: 0.5;
x260: 0.5;
x261: 0.5;
x262: 0.5;
x263: 0.5;
x264: 0.5;
x265: 0.5;
x266: 0.5;
x267: 0.5;
x268: 0.5;
x269: 0.5;
x270: 0.5;
x271: 0.5;
x272: 0.5;
x273: 0.5;
x274: 0.5;
x275: 0.5;
x276: 0.5;
x277: 0.5;
x278: 0.5;
x279: 0.5;
x280: 0.5;
x281: 0.5;
x282: 0.5;
x283: 0.5;
x284: 0.5;
x285: 0.5;
x286: 0.5;
x287: 0.5;
x288: 0.5;
x289: 0.5;
x290: 0.5;
x291: 0.5;
x292: 0.5;
x293: 0.5;
x294: 0.5;
x295: 0.5;
x296: 0.5;
x297: 0.5;
x298: 0.5;
x299: 0.5;
x300: 0.5;
x301: 0.5;
x302: 0.5;
x303: 0.5;
x304: 0.5;
x305: 0.5;
x306: 0.5;
x307: 0.5;
x308: 0.5;
x309: 0.5;
x310: 0.5;
x311: 0.5;
x312: 0.5;
x313: 0.5;
x314: 0.5;
x315: 0.5;
x316: 0.5;
x317: 0.5;
x318: 0.5;
x319: 0.5;
x320: 0.5;
x321: 0.5;
x322: 0.5;
x323: 0.5;
x324: 0.5;
x325: 0.5;
x326: 0.5;
x327: 0.5;
x328: 0.5;
x329: 0.5;
x330: 0.5;
x331: 0.5;
x332: 0.5;
x333: 0.5;
x334: 0.5;
x335: 0.5;
x336: 0.5;
x337: 0.5;
x338: 0.5;
x339: 0.5;
x340: 0.5;
x341: 0.5;
x342: 0.5;
x343: 0.5;
x344: 0.5;
x345: 0.5;
x346: 0.5;
x347: 0.5;
x348: 0.5;
x349: 0.5;
x350: 0.5;
x351: 0.5;
x352: 0.5;
x353: 0.5;
x354: 0.5;
x355: 0.5;
x356: 0.5;
x357: 0.5;
x358: 0.5;
x359: 0.5;
x360: 0.5;
x361: 0.5;
x362: 0.5;
x363: 0.5;
x364: 0.5;
x365: 0.5;
x366: 0.5;
x367: 0.5;
x368: 0.5;
x369: 0.5;
x370: 0.5;
x371: 0.5;
x372: 0.5;
x373: 0.5;
x374: 0.5;
x375: 0.5;
x376: 0.5;
x377: 0.5;
x378: 0.5;
x379: 0.5;
x380: 0.5;
x381: 0.5;
x382: 0.5;
x383: 0.5;
x384: 0.5;
x385: 0.5;
x386: 0.5;
x387: 0.5;
x388: 0.5;
x389: 0.5;
x390: 0.5;
x391: 0.5;
x392: 0.5;
x393: 0.5;
x394: 0.5;
x395: 0.5;
x396: 0.5;
x397: 0.5;
x398: 0.5;
x399: 0.5;
x400: 0.5;
x401: 0.5;
x402: 0.5;
x403: 0.5;
x404: 0.5;
x405: 0.5;
x406: 0.5;
x407: 0.5;
x408: 0.5;
x409: 0.5;
x410: 0.5;
x411: 0.5;
x412: 0.5;
x413: 0.5;
x414: 0.5;
x415: 0.5;
x416: 0.5;
x417: 0.5;
x418: 0.5;
x419: 0.5;
x420: 0.5;
x421: 0.5;
x422: 0.5;
x423: 0.5;
x424: 0.5;
x425: 0.5;
x426: 0.5;
x427: 0.5;
x428: 0.5;
x429: 0.5;
x430: 0.5;
x431: 0.5;
x432: 0.5;
x433: 0.5;
x434: 0.5;
x435: 0.5;
x436: 0.5;
x437: 0.5;
x438: 0.5;
x439: 0.5;
x440: 0.5;
x441: 0.5;
x442: 0.5;
x443: 0.5;
x444: 0.5;
x445: 0.5;
x446: 0.5;
x447: 0.5;
x448: 0.5;
x449: 0.5;
x450: 0.5;
x451: 0.866025403784439;
x452: 0.866025403784439;
x453: 0.866025403784439;
x454: 0.866025403784439;
x455: 0.866025403784439;
x456: 0.866025403784439;
x457: 0.866025403784439;
x458: 0.866025403784439;
x459: 0.866025403784439;
x460: 0.866025403784439;
x461: 0.866025403784439;
x462: 0.866025403784439;
x463: 0.866025403784439;
x464: 0.866025403784439;
x465: 0.866025403784439;
x466: 0.866025403784439;
x467: 0.866025403784439;
x468: 0.866025403784439;
x469: 0.866025403784439;
x470: 0.866025403784439;
x471: 0.866025403784439;
x472: 0.866025403784439;
x473: 0.866025403784439;
x474: 0.866025403784439;
x475: 0.866025403784439;
x476: 0.866025403784439;
x477: 0.866025403784439;
x478: 0.866025403784439;
x479: 0.866025403784439;
x480: 0.866025403784439;
x481: 0.866025403784439;
x482: 0.866025403784439;
x483: 0.866025403784439;
x484: 0.866025403784439;
x485: 0.866025403784439;
x486: 0.866025403784439;
x487: 0.866025403784439;
x488: 0.866025403784439;
x489: 0.866025403784439;
x490: 0.866025403784439;
x491: 0.866025403784439;
x492: 0.866025403784439;
x493: 0.866025403784439;
x494: 0.866025403784439;
x495: 0.866025403784439;
x496: 0.866025403784439;
x497: 0.866025403784439;
x498: 0.866025403784439;
x499: 0.866025403784439;
x500: 0.866025403784439;
x501: 0.866025403784439;
x502: 0.866025403784439;
x503: 0.866025403784439;
x504: 0.866025403784439;
x505: 0.866025403784439;
x506: 0.866025403784439;
x507: 0.866025403784439;
x508: 0.866025403784439;
x509: 0.866025403784439;
x510: 0.866025403784439;
x511: 0.75;
x512: 0.75;
x513: 0.75;
x514: 0.75;
x515: 0.75;
x516: 0.75;
x517: 0.75;
x518: 0.75;
x519: 0.75;
x520: 0.75;
x521: 0.75;
x522: 0.75;
x523: 0.75;
x524: 0.75;
x525: 0.75;
x526: 0.75;
x527: 0.75;
x528: 0.75;
x529: 0.75;
x530: 0.75;
x531: 0.75;
x532: 0.75;
x533: 0.75;
x534: 0.75;
x535: 0.75;
x536: 0.75;
x537: 0.75;
x538: 0.75;
x539: 0.75;
x540: 0.75;
x541: 0.75;
x542: 0.75;
x543: 0.75;
x544: 0.75;
x545: 0.75;
x546: 0.75;
x547: 0.75;
x548: 0.75;
x549: 0.75;
x550: 0.75;
x551: 0.75;
x552: 0.75;
x553: 0.75;
x554: 0.75;
x555: 0.75;
x556: 0.75;
x557: 0.75;
x558: 0.75;
x559: 0.75;
x560: 0.75;
x561: 0.75;
x562: 0.75;
x563: 0.75;
x564: 0.75;
x565: 0.75;
x566: 0.75;
x567: 0.75;
x568: 0.75;
x569: 0.75;
x570: 0.75;
}
