//  MINLP written by GAMS Convert at 04/07/20 12:05:45
//  
//  Equation counts
//      Total        E        G        L        N        X        C        B
//        766      221       63      482        0        0        0        0
//  
//  Variable counts
//                   x        b        i      s1s      s2s       sc       si
//      Total     cont   binary  integer     sos1     sos2    scont     sint
//        570      510       60        0        0        0        0        0
//  FX      0        0        0        0        0        0        0        0
//  
//  Nonzero counts
//      Total    const       NL      DLL
//       2265     1965      300        0
//
// Reformulation has removed 1 variable and 1 equation
//

OPTIONS{
EpsA: 1e-9;
EpsR: 1e-5;
MaxIter: 1000000;
MaxTime: 3600;
Threads: 1;
GamsCntr: "/home/bernalde/Repositories/conic_disjunctive/225k/gamscntr.dat";
TimName: "/home/bernalde/Repositories/conic_disjunctive/225k/tim.dat";
ResName: "/home/bernalde/Repositories/conic_disjunctive/225k/res.dat";
SumName: "/home/bernalde/Repositories/conic_disjunctive/225k/sum.dat";
OptName: "/home/bernalde/Repositories/conic_disjunctive/225k/opt.dat";
cplexlibname: "/home/bernalde/gams/gams28.2_linux_x64_64_sfx/libcplex.so";
xprslibname: "/home/bernalde/gams/gams28.2_linux_x64_64_sfx/libxprs.so";
}

BINARY_VARIABLES  b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18
          ,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35
          ,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52
          ,b53,b54,b55,b56,b57,b58,b59,b60,b61;

VARIABLES  x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78
          ,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95
          ,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109
          ,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122
          ,x422,x423,x424,x425,x426,x427,x428,x429,x430,x431,x432,x433,x434
          ,x435,x436,x437,x438,x439,x440,x441,x442,x443,x444,x445,x446,x447
          ,x448,x449,x450,x451,x452,x453,x454,x455,x456,x457,x458,x459,x460
          ,x461,x462,x463,x464,x465,x466,x467,x468,x469,x470,x471,x472,x473
          ,x474,x475,x476,x477,x478,x479,x480,x481,x482,x483,x484,x485,x486
          ,x487,x488,x489,x490,x491,x492,x493,x494,x495,x496,x497,x498,x499
          ,x500,x501,x502,x503,x504,x505,x506,x507,x508,x509,x510,x511,x512
          ,x513,x514,x515,x516,x517,x518,x519,x520,x521,x522,x523,x524,x525
          ,x526,x527,x528,x529,x530,x531,x532,x533,x534,x535,x536,x537,x538
          ,x539,x540,x541,x542,x543,x544,x545,x546,x547,x548,x549,x550,x551
          ,x552,x553,x554,x555,x556,x557,x558,x559,x560,x561,x562,x563,x564
          ,x565,x566,x567,x568,x569,x570;

POSITIVE_VARIABLES  x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75
          ,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92
          ,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107
          ,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120
          ,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133
          ,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146
          ,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159
          ,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172
          ,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185
          ,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198
          ,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211
          ,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224
          ,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237
          ,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250
          ,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263
          ,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276
          ,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289
          ,x290,x291,x292,x293,x294,x295,x296,x297,x298,x299,x300,x301,x302
          ,x303,x304,x305,x306,x307,x308,x309,x310,x311,x312,x313,x314,x315
          ,x316,x317,x318,x319,x320,x321,x322,x323,x324,x325,x326,x327,x328
          ,x329,x330,x331,x332,x333,x334,x335,x336,x337,x338,x339,x340,x341
          ,x342,x343,x344,x345,x346,x347,x348,x349,x350,x351,x352,x353,x354
          ,x355,x356,x357,x358,x359,x360,x361,x362,x363,x364,x365,x366,x367
          ,x368,x369,x370,x371,x372,x373,x374,x375,x376,x377,x378,x379,x380
          ,x381,x382,x383,x384,x385,x386,x387,x388,x389,x390,x391,x392,x393
          ,x394,x395,x396,x397,x398,x399,x400,x401,x402,x403,x404,x405,x406
          ,x407,x408,x409,x410,x411,x412,x413,x414,x415,x416,x417,x418,x419
          ,x420,x421,x422,x423,x424,x425,x426,x427,x428,x429,x430,x431,x432
          ,x433,x434,x435,x436,x437,x438,x439,x440,x441,x442,x443,x444,x445
          ,x446,x447,x448,x449,x450,x451,x452,x453,x454,x455,x456,x457,x458
          ,x459,x460,x461,x462,x463,x464,x465,x466,x467,x468,x469,x470,x471
          ,x472,x473,x474,x475,x476,x477,x478,x479,x480,x481,x482,x483,x484
          ,x485,x486,x487,x488,x489,x490,x491,x492,x493,x494,x495,x496,x497
          ,x498,x499,x500,x501,x502,x503,x504,x505,x506,x507,x508,x509,x510
          ,x511,x512,x513,x514,x515,x516,x517,x518,x519,x520,x521,x522,x523
          ,x524,x525,x526,x527,x528,x529,x530,x531,x532,x533,x534,x535,x536
          ,x537,x538,x539,x540,x541,x542,x543,x544,x545,x546,x547,x548,x549
          ,x550,x551,x552,x553,x554,x555,x556,x557,x558,x559,x560,x561,x562
          ,x563,x564,x565,x566,x567,x568,x569,x570;

UPPER_BOUNDS{
x62: 1.73205080756888;
x63: 1.73205080756888;
x64: 1.73205080756888;
x65: 1.73205080756888;
x66: 1.73205080756888;
x67: 1.73205080756888;
x68: 1.73205080756888;
x69: 1.73205080756888;
x70: 1.73205080756888;
x71: 1.73205080756888;
x72: 1.73205080756888;
x73: 1.73205080756888;
x74: 1.73205080756888;
x75: 1.73205080756888;
x76: 1.73205080756888;
x77: 1.73205080756888;
x78: 1.73205080756888;
x79: 1.73205080756888;
x80: 1.73205080756888;
x81: 1.73205080756888;
x82: 1;
x83: 1;
x84: 1;
x85: 1;
x86: 1;
x87: 1;
x88: 1;
x89: 1;
x90: 1;
x91: 1;
x92: 1;
x93: 1;
x94: 1;
x95: 1;
x96: 1;
x97: 1;
x98: 1;
x99: 1;
x100: 1;
x101: 1;
x102: 1;
x103: 1;
x104: 1;
x105: 1;
x106: 1;
x107: 1;
x108: 1;
x109: 1;
x110: 1;
x111: 1;
x112: 1;
x113: 1;
x114: 1;
x115: 1;
x116: 1;
x117: 1;
x118: 1;
x119: 1;
x120: 1;
x121: 1;
x122: 1;
x123: 1;
x124: 1;
x125: 1;
x126: 1;
x127: 1;
x128: 1;
x129: 1;
x130: 1;
x131: 1;
x132: 1;
x133: 1;
x134: 1;
x135: 1;
x136: 1;
x137: 1;
x138: 1;
x139: 1;
x140: 1;
x141: 1;
x142: 1;
x143: 1;
x144: 1;
x145: 1;
x146: 1;
x147: 1;
x148: 1;
x149: 1;
x150: 1;
x151: 1;
x152: 1;
x153: 1;
x154: 1;
x155: 1;
x156: 1;
x157: 1;
x158: 1;
x159: 1;
x160: 1;
x161: 1;
x162: 1;
x163: 1;
x164: 1;
x165: 1;
x166: 1;
x167: 1;
x168: 1;
x169: 1;
x170: 1;
x171: 1;
x172: 1;
x173: 1;
x174: 1;
x175: 1;
x176: 1;
x177: 1;
x178: 1;
x179: 1;
x180: 1;
x181: 1;
x182: 1;
x183: 1;
x184: 1;
x185: 1;
x186: 1;
x187: 1;
x188: 1;
x189: 1;
x190: 1;
x191: 1;
x192: 1;
x193: 1;
x194: 1;
x195: 1;
x196: 1;
x197: 1;
x198: 1;
x199: 1;
x200: 1;
x201: 1;
x202: 1;
x203: 1;
x204: 1;
x205: 1;
x206: 1;
x207: 1;
x208: 1;
x209: 1;
x210: 1;
x211: 1;
x212: 1;
x213: 1;
x214: 1;
x215: 1;
x216: 1;
x217: 1;
x218: 1;
x219: 1;
x220: 1;
x221: 1;
x222: 1;
x223: 1;
x224: 1;
x225: 1;
x226: 1;
x227: 1;
x228: 1;
x229: 1;
x230: 1;
x231: 1;
x232: 1;
x233: 1;
x234: 1;
x235: 1;
x236: 1;
x237: 1;
x238: 1;
x239: 1;
x240: 1;
x241: 1;
x242: 1;
x243: 1;
x244: 1;
x245: 1;
x246: 1;
x247: 1;
x248: 1;
x249: 1;
x250: 1;
x251: 1;
x252: 1;
x253: 1;
x254: 1;
x255: 1;
x256: 1;
x257: 1;
x258: 1;
x259: 1;
x260: 1;
x261: 1;
x262: 1;
x263: 1;
x264: 1;
x265: 1;
x266: 1;
x267: 1;
x268: 1;
x269: 1;
x270: 1;
x271: 1;
x272: 1;
x273: 1;
x274: 1;
x275: 1;
x276: 1;
x277: 1;
x278: 1;
x279: 1;
x280: 1;
x281: 1;
x282: 1;
x283: 1;
x284: 1;
x285: 1;
x286: 1;
x287: 1;
x288: 1;
x289: 1;
x290: 1;
x291: 1;
x292: 1;
x293: 1;
x294: 1;
x295: 1;
x296: 1;
x297: 1;
x298: 1;
x299: 1;
x300: 1;
x301: 1;
x302: 1;
x303: 1;
x304: 1;
x305: 1;
x306: 1;
x307: 1;
x308: 1;
x309: 1;
x310: 1;
x311: 1;
x312: 1;
x313: 1;
x314: 1;
x315: 1;
x316: 1;
x317: 1;
x318: 1;
x319: 1;
x320: 1;
x321: 1;
x322: 1;
x323: 1;
x324: 1;
x325: 1;
x326: 1;
x327: 1;
x328: 1;
x329: 1;
x330: 1;
x331: 1;
x332: 1;
x333: 1;
x334: 1;
x335: 1;
x336: 1;
x337: 1;
x338: 1;
x339: 1;
x340: 1;
x341: 1;
x342: 1;
x343: 1;
x344: 1;
x345: 1;
x346: 1;
x347: 1;
x348: 1;
x349: 1;
x350: 1;
x351: 1;
x352: 1;
x353: 1;
x354: 1;
x355: 1;
x356: 1;
x357: 1;
x358: 1;
x359: 1;
x360: 1;
x361: 1;
x362: 1;
x363: 1;
x364: 1;
x365: 1;
x366: 1;
x367: 1;
x368: 1;
x369: 1;
x370: 1;
x371: 1;
x372: 1;
x373: 1;
x374: 1;
x375: 1;
x376: 1;
x377: 1;
x378: 1;
x379: 1;
x380: 1;
x381: 1;
x382: 1;
x383: 1;
x384: 1;
x385: 1;
x386: 1;
x387: 1;
x388: 1;
x389: 1;
x390: 1;
x391: 1;
x392: 1;
x393: 1;
x394: 1;
x395: 1;
x396: 1;
x397: 1;
x398: 1;
x399: 1;
x400: 1;
x401: 1;
x402: 1;
x403: 1;
x404: 1;
x405: 1;
x406: 1;
x407: 1;
x408: 1;
x409: 1;
x410: 1;
x411: 1;
x412: 1;
x413: 1;
x414: 1;
x415: 1;
x416: 1;
x417: 1;
x418: 1;
x419: 1;
x420: 1;
x421: 1;
x422: 1;
x423: 1;
x424: 1;
x425: 1;
x426: 1;
x427: 1;
x428: 1;
x429: 1;
x430: 1;
x431: 1;
x432: 1;
x433: 1;
x434: 1;
x435: 1;
x436: 1;
x437: 1;
x438: 1;
x439: 1;
x440: 1;
x441: 1;
x442: 1;
x443: 1;
x444: 1;
x445: 1;
x446: 1;
x447: 1;
x448: 1;
x449: 1;
x450: 1;
x451: 1.73205080756888;
x452: 1.73205080756888;
x453: 1.73205080756888;
x454: 1.73205080756888;
x455: 1.73205080756888;
x456: 1.73205080756888;
x457: 1.73205080756888;
x458: 1.73205080756888;
x459: 1.73205080756888;
x460: 1.73205080756888;
x461: 1.73205080756888;
x462: 1.73205080756888;
x463: 1.73205080756888;
x464: 1.73205080756888;
x465: 1.73205080756888;
x466: 1.73205080756888;
x467: 1.73205080756888;
x468: 1.73205080756888;
x469: 1.73205080756888;
x470: 1.73205080756888;
x471: 1.73205080756888;
x472: 1.73205080756888;
x473: 1.73205080756888;
x474: 1.73205080756888;
x475: 1.73205080756888;
x476: 1.73205080756888;
x477: 1.73205080756888;
x478: 1.73205080756888;
x479: 1.73205080756888;
x480: 1.73205080756888;
x481: 1.73205080756888;
x482: 1.73205080756888;
x483: 1.73205080756888;
x484: 1.73205080756888;
x485: 1.73205080756888;
x486: 1.73205080756888;
x487: 1.73205080756888;
x488: 1.73205080756888;
x489: 1.73205080756888;
x490: 1.73205080756888;
x491: 1.73205080756888;
x492: 1.73205080756888;
x493: 1.73205080756888;
x494: 1.73205080756888;
x495: 1.73205080756888;
x496: 1.73205080756888;
x497: 1.73205080756888;
x498: 1.73205080756888;
x499: 1.73205080756888;
x500: 1.73205080756888;
x501: 1.73205080756888;
x502: 1.73205080756888;
x503: 1.73205080756888;
x504: 1.73205080756888;
x505: 1.73205080756888;
x506: 1.73205080756888;
x507: 1.73205080756888;
x508: 1.73205080756888;
x509: 1.73205080756888;
x510: 1.73205080756888;
x511: 3;
x512: 3;
x513: 3;
x514: 3;
x515: 3;
x516: 3;
x517: 3;
x518: 3;
x519: 3;
x520: 3;
x521: 3;
x522: 3;
x523: 3;
x524: 3;
x525: 3;
x526: 3;
x527: 3;
x528: 3;
x529: 3;
x530: 3;
x531: 3;
x532: 3;
x533: 3;
x534: 3;
x535: 3;
x536: 3;
x537: 3;
x538: 3;
x539: 3;
x540: 3;
x541: 3;
x542: 3;
x543: 3;
x544: 3;
x545: 3;
x546: 3;
x547: 3;
x548: 3;
x549: 3;
x550: 3;
x551: 3;
x552: 3;
x553: 3;
x554: 3;
x555: 3;
x556: 3;
x557: 3;
x558: 3;
x559: 3;
x560: 3;
x561: 3;
x562: 3;
x563: 3;
x564: 3;
x565: 3;
x566: 3;
x567: 3;
x568: 3;
x569: 3;
x570: 3;
}

EQUATIONS  e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20
          ,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37
          ,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54
          ,e55,e56,e57,e58,e59,e60,e61,e62,e63,e64,e65,e66,e67,e68,e69,e70,e71
          ,e72,e73,e74,e75,e76,e77,e78,e79,e80,e81,e82,e83,e84,e85,e86,e87,e88
          ,e89,e90,e91,e92,e93,e94,e95,e96,e97,e98,e99,e100,e101,e102,e103
          ,e104,e105,e106,e107,e108,e109,e110,e111,e112,e113,e114,e115,e116
          ,e117,e118,e119,e120,e121,e122,e123,e124,e125,e126,e127,e128,e129
          ,e130,e131,e132,e133,e134,e135,e136,e137,e138,e139,e140,e141,e142
          ,e143,e144,e145,e146,e147,e148,e149,e150,e151,e152,e153,e154,e155
          ,e156,e157,e158,e159,e160,e161,e162,e163,e164,e165,e166,e167,e168
          ,e169,e170,e171,e172,e173,e174,e175,e176,e177,e178,e179,e180,e181
          ,e182,e183,e184,e185,e186,e187,e188,e189,e190,e191,e192,e193,e194
          ,e195,e196,e197,e198,e199,e200,e201,e202,e203,e204,e205,e206,e207
          ,e208,e209,e210,e211,e212,e213,e214,e215,e216,e217,e218,e219,e220
          ,e221,e222,e223,e224,e225,e226,e227,e228,e229,e230,e231,e232,e233
          ,e234,e235,e236,e237,e238,e239,e240,e241,e242,e243,e244,e245,e246
          ,e247,e248,e249,e250,e251,e252,e253,e254,e255,e256,e257,e258,e259
          ,e260,e261,e262,e263,e264,e265,e266,e267,e268,e269,e270,e271,e272
          ,e273,e274,e275,e276,e277,e278,e279,e280,e281,e282,e283,e284,e285
          ,e286,e287,e288,e289,e290,e291,e292,e293,e294,e295,e296,e297,e298
          ,e299,e300,e301,e302,e303,e304,e305,e306,e307,e308,e309,e310,e311
          ,e312,e313,e314,e315,e316,e317,e318,e319,e320,e321,e322,e323,e324
          ,e325,e326,e327,e328,e329,e330,e331,e332,e333,e334,e335,e336,e337
          ,e338,e339,e340,e341,e342,e343,e344,e345,e346,e347,e348,e349,e350
          ,e351,e352,e353,e354,e355,e356,e357,e358,e359,e360,e361,e362,e363
          ,e364,e365,e366,e367,e368,e369,e370,e371,e372,e373,e374,e375,e376
          ,e377,e378,e379,e380,e381,e382,e383,e384,e385,e386,e387,e388,e389
          ,e390,e391,e392,e393,e394,e395,e396,e397,e398,e399,e400,e401,e402
          ,e403,e404,e405,e406,e407,e408,e409,e410,e411,e412,e413,e414,e415
          ,e416,e417,e418,e419,e420,e421,e422,e423,e424,e425,e426,e427,e428
          ,e429,e430,e431,e432,e433,e434,e435,e436,e437,e438,e439,e440,e441
          ,e442,e443,e444,e445,e446,e447,e448,e449,e450,e451,e452,e453,e454
          ,e455,e456,e457,e458,e459,e460,e461,e462,e463,e464,e465,e466,e467
          ,e468,e469,e470,e471,e472,e473,e474,e475,e476,e477,e478,e479,e480
          ,e481,e482,e483,e484,e485,e486,e487,e488,e489,e490,e491,e492,e493
          ,e494,e495,e496,e497,e498,e499,e500,e501,e502,e503,e504,e505,e506
          ,e507,e508,e509,e510,e511,e512,e513,e514,e515,e516,e517,e518,e519
          ,e520,e521,e522,e523,e524,e525,e526,e527,e528,e529,e530,e531,e532
          ,e533,e534,e535,e536,e537,e538,e539,e540,e541,e542,e543,e544,e545
          ,e546,e547,e548,e549,e550,e551,e552,e553,e554,e555,e556,e557,e558
          ,e559,e560,e561,e562,e563,e564,e565,e566,e567,e568,e569,e570,e571
          ,e572,e573,e574,e575,e576,e577,e578,e579,e580,e581,e582,e583,e584
          ,e585,e586,e587,e588,e589,e590,e591,e592,e593,e594,e595,e596,e597
          ,e598,e599,e600,e601,e602,e603,e604,e605,e606,e607,e608,e609,e610
          ,e611,e612,e613,e614,e615,e616,e617,e618,e619,e620,e621,e622,e623
          ,e624,e625,e626,e627,e628,e629,e630,e631,e632,e633,e634,e635,e636
          ,e637,e638,e639,e640,e641,e642,e643,e644,e645,e646,e647,e648,e649
          ,e650,e651,e652,e653,e654,e655,e656,e657,e658,e659,e660,e661,e662
          ,e663,e664,e665,e666,e667,e668,e669,e670,e671,e672,e673,e674,e675
          ,e676,e677,e678,e679,e680,e681,e682,e683,e684,e685,e686,e687,e688
          ,e689,e690,e691,e692,e693,e694,e695,e696,e697,e698,e699,e700,e701
          ,e702,e703,e704,e705,e706,e707,e708,e709,e710,e711,e712,e713,e714
          ,e715,e716,e717,e718,e719,e720,e721,e722,e723,e724,e725,e726,e727
          ,e728,e729,e730,e731,e732,e733,e734,e735,e736,e737,e738,e739,e740
          ,e741,e742,e743,e744,e745,e746,e747,e748,e749,e750,e751,e752,e753
          ,e754,e755,e756,e757,e758,e759,e760,e761,e762,e763,e764,e765,e766;


e2: (b2 + x511)^2 - (4*(x91^2 + x92^2 + x93^2) + (b2 - x511)^2) >= 0;

e3: (b3 + x512)^2 - (4*(x94^2 + x95^2 + x96^2) + (b3 - x512)^2) >= 0;

e4: (b4 + x513)^2 - (4*(x97^2 + x98^2 + x99^2) + (b4 - x513)^2) >= 0;

e5: (b5 + x514)^2 - (4*(x100^2 + x101^2 + x102^2) + (b5 - x514)^2) >= 0;

e6: (b6 + x515)^2 - (4*(x103^2 + x104^2 + x105^2) + (b6 - x515)^2) >= 0;

e7: (b7 + x516)^2 - (4*(x106^2 + x107^2 + x108^2) + (b7 - x516)^2) >= 0;

e8: (b8 + x517)^2 - (4*(x109^2 + x110^2 + x111^2) + (b8 - x517)^2) >= 0;

e9: (b9 + x518)^2 - (4*(x112^2 + x113^2 + x114^2) + (b9 - x518)^2) >= 0;

e10: (b10 + x519)^2 - (4*(x115^2 + x116^2 + x117^2) + (b10 - x519)^2) >= 0;

e11: (b11 + x520)^2 - (4*(x118^2 + x119^2 + x120^2) + (b11 - x520)^2) >= 0;

e12: (b12 + x521)^2 - (4*(x121^2 + x122^2 + x123^2) + (b12 - x521)^2) >= 0;

e13: (b13 + x522)^2 - (4*(x124^2 + x125^2 + x126^2) + (b13 - x522)^2) >= 0;

e14: (b14 + x523)^2 - (4*(x127^2 + x128^2 + x129^2) + (b14 - x523)^2) >= 0;

e15: (b15 + x524)^2 - (4*(x130^2 + x131^2 + x132^2) + (b15 - x524)^2) >= 0;

e16: (b16 + x525)^2 - (4*(x133^2 + x134^2 + x135^2) + (b16 - x525)^2) >= 0;

e17: (b17 + x526)^2 - (4*(x136^2 + x137^2 + x138^2) + (b17 - x526)^2) >= 0;

e18: (b18 + x527)^2 - (4*(x139^2 + x140^2 + x141^2) + (b18 - x527)^2) >= 0;

e19: (b19 + x528)^2 - (4*(x142^2 + x143^2 + x144^2) + (b19 - x528)^2) >= 0;

e20: (b20 + x529)^2 - (4*(x145^2 + x146^2 + x147^2) + (b20 - x529)^2) >= 0;

e21: (b21 + x530)^2 - (4*(x148^2 + x149^2 + x150^2) + (b21 - x530)^2) >= 0;

e22: (b22 + x531)^2 - (4*(x151^2 + x152^2 + x153^2) + (b22 - x531)^2) >= 0;

e23: (b23 + x532)^2 - (4*(x154^2 + x155^2 + x156^2) + (b23 - x532)^2) >= 0;

e24: (b24 + x533)^2 - (4*(x157^2 + x158^2 + x159^2) + (b24 - x533)^2) >= 0;

e25: (b25 + x534)^2 - (4*(x160^2 + x161^2 + x162^2) + (b25 - x534)^2) >= 0;

e26: (b26 + x535)^2 - (4*(x163^2 + x164^2 + x165^2) + (b26 - x535)^2) >= 0;

e27: (b27 + x536)^2 - (4*(x166^2 + x167^2 + x168^2) + (b27 - x536)^2) >= 0;

e28: (b28 + x537)^2 - (4*(x169^2 + x170^2 + x171^2) + (b28 - x537)^2) >= 0;

e29: (b29 + x538)^2 - (4*(x172^2 + x173^2 + x174^2) + (b29 - x538)^2) >= 0;

e30: (b30 + x539)^2 - (4*(x175^2 + x176^2 + x177^2) + (b30 - x539)^2) >= 0;

e31: (b31 + x540)^2 - (4*(x178^2 + x179^2 + x180^2) + (b31 - x540)^2) >= 0;

e32: (b32 + x541)^2 - (4*(x181^2 + x182^2 + x183^2) + (b32 - x541)^2) >= 0;

e33: (b33 + x542)^2 - (4*(x184^2 + x185^2 + x186^2) + (b33 - x542)^2) >= 0;

e34: (b34 + x543)^2 - (4*(x187^2 + x188^2 + x189^2) + (b34 - x543)^2) >= 0;

e35: (b35 + x544)^2 - (4*(x190^2 + x191^2 + x192^2) + (b35 - x544)^2) >= 0;

e36: (b36 + x545)^2 - (4*(x193^2 + x194^2 + x195^2) + (b36 - x545)^2) >= 0;

e37: (b37 + x546)^2 - (4*(x196^2 + x197^2 + x198^2) + (b37 - x546)^2) >= 0;

e38: (b38 + x547)^2 - (4*(x199^2 + x200^2 + x201^2) + (b38 - x547)^2) >= 0;

e39: (b39 + x548)^2 - (4*(x202^2 + x203^2 + x204^2) + (b39 - x548)^2) >= 0;

e40: (b40 + x549)^2 - (4*(x205^2 + x206^2 + x207^2) + (b40 - x549)^2) >= 0;

e41: (b41 + x550)^2 - (4*(x208^2 + x209^2 + x210^2) + (b41 - x550)^2) >= 0;

e42: (b42 + x551)^2 - (4*(x211^2 + x212^2 + x213^2) + (b42 - x551)^2) >= 0;

e43: (b43 + x552)^2 - (4*(x214^2 + x215^2 + x216^2) + (b43 - x552)^2) >= 0;

e44: (b44 + x553)^2 - (4*(x217^2 + x218^2 + x219^2) + (b44 - x553)^2) >= 0;

