                                 Instance                                 |                                   baronBM@0                                   |                                  baronBMc@0                                   |                                   baronHR@0                                   |                                  baronHRc@0                                   |                                   cplexBM@0                                   |                                  cplexHRc@0                                   |                                  knitroBM@0                                   |                                  knitroBMc@0                                  |                                  knitroHR@0                                   |                                  knitroHRc@0                                  |                                  mosekBM.2@0                                  |                                   mosekBM@0                                   |                                 mosekBMc.2@0                                  |                                  mosekBMc@0                                   |                                 mosekHRc.2@0                                  |                                  mosekHRc@0                                   |                                 sbbknitroBM@0                                 |                                sbbknitroBMc@0                                 |                                 sbbknitroHR@0                                 |                                sbbknitroHRc@0                                 |                                 sbbmosekBM@0                                  |                                 sbbmosekBMc@0                                 |                                 sbbmosekHR@0                                  |                                 sbbmosekHRc@0                                 |
Syn20M03                 316   120   700 max  2.646951e+03  2.646951e+03  |normal      2.646977e+03    0.00  2.646951e+03    0.00   0.00    0.49       1  |normal      2.646977e+03    0.00  2.646951e+03    0.00   0.00    5.67      43  |normal      2.646977e+03    0.00  2.646951e+03    0.00   0.00    7.26      21  |timelim     2.646951e+03   -0.00          -inf     inf    inf 3599.87  300067  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|timelim     2.697947e+03    1.93  2.646951e+03    0.00   1.93 3600.46  164828  |timelim     2.777920e+03    4.95  2.629216e+03    0.67   5.66 3600.48  137094  |normal      2.646951e+03   -0.00  2.646951e+03    0.00  -0.00    1.02      27  |other       2.653985e+03    0.27          -inf     inf    inf  932.34  199997 !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      2.646960e+03    0.00  2.646960e+03   -0.00   0.00    3.32     963  |normal      2.646951e+03   -0.00  2.646951e+03    0.00   0.00  361.29   44127  |normal      2.646967e+03    0.00  2.646961e+03   -0.00   0.00    0.31       3  |normal      2.646951e+03   -0.00  2.646951e+03    0.00   0.00    0.44      13  |other       5.213572e+03   96.97  2.218949e+03   19.29 134.96  494.13    7758 !|other       5.245454e+03   98.17  2.520974e+03    5.00 108.07  526.50    7476 !|normal      2.646951e+03   -0.00  2.646951e+03    0.00   0.00    3.02      28  |normal      2.626951e+03   -0.76  2.626951e+03    0.76   0.00    3.67      23  |--                    --     inf            --     inf     --      --      -- !|other       5.192060e+03   96.15  2.219116e+03   19.28 133.97  255.86    7824 !|--                    --     inf            --     inf     --      --      -- !|normal      2.646951e+03   -0.00  2.646951e+03    0.00   0.00    1.23      25  |
Syn20M04                 421   160  1053 max  3.532744e+03  3.532744e+03  |normal      3.532779e+03    0.00  3.532744e+03    0.00   0.00    0.87       1  |normal      3.532779e+03    0.00  3.532744e+03    0.00   0.00   12.45      85  |normal      3.532779e+03    0.00  3.532744e+03    0.00   0.00   16.82      21  |timelim     3.532744e+03   -0.00          -inf     inf    inf 3599.84  208090  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|timelim     4.114819e+03   16.48  1.393948e+03  153.43 195.19 3600.41  114242  |timelim     4.278639e+03   21.11  1.393948e+03  153.43 206.94 3600.48   95068  |normal      3.532744e+03   -0.00  3.532744e+03    0.00  -0.00    1.75      27  |other       3.539778e+03    0.20          -inf     inf    inf  839.52  199978 !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      3.532747e+03    0.00  3.532747e+03   -0.00   0.00   20.36    6527  |--                    --     inf            --     inf     --      --      -- !|normal      3.532763e+03    0.00  3.532757e+03   -0.00   0.00    0.44       5  |normal      3.532744e+03   -0.00  3.532744e+03    0.00   0.00    0.68      13  |other       7.484672e+03  111.87  3.079327e+03   14.72 143.06  613.26    7491 !|other       7.694368e+03  117.80  1.521309e+03  132.22 405.77  760.59    7354 !|normal      3.532744e+03   -0.00  3.532744e+03    0.00   0.00    7.11      52  |normal      3.531009e+03   -0.05  3.531009e+03    0.05   0.00   11.70      57  |--                    --     inf            --     inf     --      --      -- !|other       7.459345e+03  111.15  3.079128e+03   14.73 142.26  297.39    7145 !|--                    --     inf            --     inf     --      --      -- !|normal      3.532744e+03   -0.00  3.532744e+03    0.00   0.00    1.49      31  |
Syn30                    101    30   168 max  1.381596e+02  1.381596e+02  |normal      1.381610e+02    0.00  1.381596e+02   -0.00   0.00    0.31       5  |normal      1.381610e+02    0.00  1.381596e+02   -0.00   0.00    2.38      61  |normal      1.381610e+02    0.00  1.381596e+02   -0.00   0.00    2.10      15  |iterlim     1.381596e+02    0.00          -inf     inf    inf 2735.21 1000000  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      1.381596e+02    0.00  1.381596e+02   -0.00  -0.00  155.74   33457  |normal      1.381596e+02    0.00  1.381596e+02   -0.00  -0.00  206.97   33831  |normal      1.381315e+02   -0.02  1.381596e+02   -0.00  -0.02    0.13       7  |normal      1.381469e+02   -0.01  1.381596e+02    0.00  -0.01    0.14       7  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      1.381611e+02    0.00  1.381611e+02   -0.00   0.00    0.27      19  |normal      1.381596e+02    0.00  1.381596e+02   -0.00   0.00   10.57    2189  |normal      1.381611e+02    0.00  1.381611e+02   -0.00   0.00    0.18       7  |normal      1.381596e+02    0.00  1.381596e+02   -0.00   0.00    0.17       7  |other       1.040585e+03  653.18  1.212617e+02   13.94 758.13  230.20    6937 !|other       1.027137e+03  643.44  1.212617e+02   13.94 747.04  248.72    6972 !|normal      1.381596e+02    0.00  1.381596e+02   -0.00   0.00    0.47      10  |normal      1.381596e+02   -0.00  1.381596e+02    0.00   0.00    0.44      10  |--                    --     inf            --     inf     --      --      -- !|other       1.055544e+03  664.00  1.212617e+02   13.94 770.47   94.67    6800 !|--                    --     inf            --     inf     --      --      -- !|normal      1.381596e+02    0.00  1.381596e+02   -0.00   0.00    0.16       6  |
Syn30M02                 321   120   605 max  3.996831e+02  3.996831e+02  |normal      3.996871e+02    0.00  3.996831e+02   -0.00   0.00    1.44       7  |normal      3.996871e+02    0.00  3.996831e+02   -0.00   0.00   10.35     129  |normal      3.996871e+02    0.00  3.996831e+02   -0.00   0.00    6.11      19  |timelim     3.996831e+02    0.00          -inf     inf    inf 3599.83  292942  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|timelim     2.284271e+03  471.52  3.467541e+02   15.26 558.76 3600.49  159527  |timelim     2.387983e+03  497.47          -inf     inf    inf 3600.51  146231  |normal      3.996831e+02    0.00  3.996831e+02   -0.00   0.00    0.42      11  |normal      3.996831e+02    0.00  3.996831e+02   -0.00  -0.00    0.68      11  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      3.996902e+02    0.00  3.996902e+02   -0.00   0.00    1.50     299  |normal      3.996832e+02    0.00  3.996832e+02   -0.00   0.00  567.27   59585  |normal      3.996893e+02    0.00  3.996893e+02   -0.00   0.00    0.36      11  |normal      3.996832e+02    0.00  3.996832e+02   -0.00   0.00    0.38       9  |other       2.764644e+03  591.71  3.517541e+02   13.63 685.96  487.61    6709 !|other       2.776679e+03  594.72  3.517541e+02   13.63 689.38  571.99    6672 !|normal      3.996831e+02    0.00  3.996831e+02   -0.00   0.00    1.64      17  |normal      3.982522e+02   -0.36  3.982522e+02    0.36   0.00    2.27      17  |--                    --     inf            --     inf     --      --      -- !|other       2.792830e+03  598.76  3.517541e+02   13.63 693.97  247.15    6654 !|--                    --     inf            --     inf     --      --      -- !|normal      3.996832e+02    0.00  3.996832e+02   -0.00   0.00    0.61      11  |
Syn30M03                 481   180  1042 max  6.541542e+02  6.541542e+02  |normal      6.541607e+02    0.00  6.541542e+02    0.00   0.00    3.07       7  |normal      6.541607e+02    0.00  6.541542e+02    0.00   0.00   20.39     163  |normal      6.541607e+02    0.00  6.541542e+02    0.00   0.00   65.88      49  |timelim     6.573339e+02    0.49          -inf     inf    inf 3599.85  148036  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|timelim     3.712783e+03  467.57  6.051436e+02    8.10 513.54 3600.40  108728  |timelim     3.670511e+03  461.11  6.051436e+02    8.10 506.55 3600.39   92989  |normal      6.541542e+02   -0.00  6.541542e+02    0.00   0.00    1.56      23  |other       6.541541e+02   -0.00          -inf     inf    inf  605.33  199998 !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.541626e+02    0.00  6.541626e+02   -0.00   0.00    6.03     841  |--                    --     inf            --     inf     --      --      -- !|normal      6.541646e+02    0.00  6.541646e+02   -0.00   0.00    0.69      21  |normal      6.541543e+02    0.00  6.541543e+02   -0.00   0.00    0.82      21  |other       4.284387e+03  554.95  6.101436e+02    7.21 602.19  886.75    7207 !|other       4.195844e+03  541.42  6.101436e+02    7.21 587.68  981.88    6804 !|normal      6.541542e+02   -0.00  6.541542e+02    0.00   0.00    6.48      36  |normal      6.527232e+02   -0.22  6.527232e+02    0.22   0.00   13.03      34  |--                    --     inf            --     inf     --      --      -- !|other       4.208220e+03  543.31  6.101436e+02    7.21 589.71  315.15    6842 !|--                    --     inf            --     inf     --      --      -- !|normal      6.541542e+02    0.00  6.541542e+02   -0.00   0.00    1.39      24  |
Syn30M04                 641   240  1569 max  8.657220e+02  8.657220e+02  |normal      8.657307e+02    0.00  8.657220e+02   -0.00   0.00    5.67       5  |normal      8.657307e+02    0.00  8.657220e+02   -0.00   0.00   65.62     456  |normal      8.657307e+02    0.00  8.657220e+02   -0.00   0.00   85.14      47  |timelim     8.672767e+02    0.18          -inf     inf    inf 3599.85   99419  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|timelim     5.392888e+03  522.94  7.870759e+02    9.99 585.18 3600.30   68862  |timelim     5.330798e+03  515.76  7.870759e+02    9.99 577.29 3600.23   45120  |normal      8.657220e+02    0.00  8.657220e+02   -0.00   0.00    3.56      37  |normal      8.657220e+02   -0.00  8.657220e+02    0.00  -0.00    4.43      37  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      8.657356e+02    0.00  8.657356e+02   -0.00   0.00   25.68    2803  |--                    --     inf            --     inf     --      --      -- !|normal      8.657330e+02    0.00  8.657330e+02   -0.00   0.00    1.07      37  |normal      8.657221e+02    0.00  8.657221e+02   -0.00   0.00    1.83      27  |other       5.835736e+03  574.09  7.920759e+02    9.30 636.76 1263.27    8133 !|other       5.811007e+03  571.23  7.920759e+02    9.30 633.64 1409.50    7300 !|normal      8.657220e+02    0.00  8.657220e+02   -0.00   0.00   21.85      71  |normal      8.657220e+02   -0.00  8.657220e+02    0.00   0.00   24.02      62  |--                    --     inf            --     inf     --      --      -- !|other       5.814086e+03  571.59  7.920759e+02    9.30 634.03  418.82    7351 !|--                    --     inf            --     inf     --      --      -- !|normal      8.657220e+02    0.00  8.657220e+02   -0.00   0.00    3.65      46  |
Syn40                    131    40   227 max  6.771326e+01  6.771326e+01  |normal      6.771393e+01    0.00  6.771326e+01    0.00   0.00    0.34       5  |normal      6.771393e+01    0.00  6.771326e+01    0.00   0.00    5.38     147  |normal      6.771395e+01    0.00  6.771327e+01   -0.00   0.00    3.27      15  |timelim     6.771326e+01   -0.00          -inf     inf    inf 3599.89  827854  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.771373e+01    0.00  6.771326e+01    0.00   0.00 1412.67  154355  |normal      6.771373e+01    0.00  6.771326e+01    0.00   0.00 2078.01  176433  |normal      6.771327e+01    0.00  6.771326e+01    0.00   0.00    0.28      13  |other       7.888695e+01   16.50          -inf     inf    inf  113.53  200001 !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.771502e+01    0.00  6.771502e+01   -0.00   0.00    0.40      73  |normal      6.771327e+01    0.00  6.771327e+01   -0.00   0.00  109.23   18233  |normal      6.771435e+01    0.00  6.771435e+01   -0.00   0.00    0.23      11  |normal      6.771327e+01    0.00  6.771327e+01   -0.00   0.00    0.22      11  |other       1.064969e+03   Large  3.458161e+01   95.81  Large  210.94    6666 !|other       1.053868e+03   Large  3.458150e+01   95.81  Large  271.36    6659 !|normal      6.771327e+01    0.00  6.771327e+01   -0.00   0.00    0.79      19  |normal      5.071326e+01  -33.52  5.071326e+01   33.52   0.00    2.31      17  |--                    --     inf            --     inf     --      --      -- !|other       1.058710e+03   Large  3.286464e+01  106.04  Large  124.71    6662 !|--                    --     inf            --     inf     --      --      -- !|normal      6.771326e+01    0.00  6.771326e+01   -0.00   0.00    0.35      13  |
Syn40M02                 421   160   813 max  3.887724e+02  3.887724e+02  |normal      3.887762e+02    0.00  3.887724e+02    0.00   0.00    1.63       5  |normal      3.887762e+02    0.00  3.887724e+02    0.00   0.00   40.68     481  |normal      3.887762e+02    0.00  3.887724e+02    0.00   0.00   32.11      71  |timelim     3.887724e+02   -0.00          -inf     inf    inf 3599.87  251756  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|timelim     1.113597e+03  186.44  3.195806e+02   21.65 248.46 3600.47  128057  |timelim     1.172770e+03  201.66  3.195806e+02   21.65 266.97 3600.60  109363  |normal      3.887723e+02   -0.00  3.887722e+02    0.00   0.00    1.39      23  |other       3.938394e+02    1.30          -inf     inf    inf  512.42  199998 !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      3.887772e+02    0.00  3.887772e+02   -0.00   0.00    2.58     603  |--                    --     inf            --     inf     --      --      -- !|normal      3.887772e+02    0.00  3.887772e+02   -0.00   0.00    0.58      31  |normal      3.887724e+02    0.00  3.887724e+02   -0.00   0.00    0.69      15  |other       3.861001e+03  893.13  3.235394e+02   20.16  Large  579.17    6593 !|other       3.809528e+03  879.89  3.235394e+02   20.16  Large  731.21    6607 !|normal      3.887723e+02   -0.00  3.887723e+02    0.00   0.00    4.86      38  |normal      3.884875e+02   -0.07  3.884875e+02    0.07   0.00   19.33      25  |--                    --     inf            --     inf     --      --      -- !|other       3.737859e+03  861.45  3.404876e+02   14.18 997.80  286.42    6563 !|--                    --     inf            --     inf     --      --      -- !|normal      3.887724e+02    0.00  3.887724e+02   -0.00   0.00    1.62      30  |
Syn40M03                 631   240  1399 max  3.951480e+02  3.951480e+02  |normal      3.951520e+02    0.00  3.951480e+02   -0.00   0.00    5.30      11  |normal      3.951520e+02    0.00  3.951480e+02   -0.00   0.00  244.77    1815  |normal      3.951520e+02    0.00  3.951481e+02   -0.00   0.00  276.42     155  |timelim     3.954142e+02    0.07          -inf     inf    inf 3599.84  115088  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|timelim     3.935500e+03  895.96  2.672413e+02   47.86  Large 3600.29   74752  |timelim     3.841499e+03  872.17  2.672413e+02   47.86  Large 3600.28   58161  |normal      3.951480e+02    0.00  3.951481e+02   -0.00  -0.00    8.40      99  |normal      3.987446e+02    0.91  3.998781e+02   -1.20  -0.28   14.79      39  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      3.951551e+02    0.00  3.951551e+02   -0.00   0.00   54.77    6411  |--                    --     inf            --     inf     --      --      -- !|normal      3.951554e+02    0.00  3.951554e+02   -0.00   0.00    1.17      57  |normal      3.951482e+02    0.00  3.951482e+02   -0.00   0.00    1.79      39  |other       5.151288e+03   Large  2.722997e+02   45.12  Large 1106.77    6927 !|other       5.029438e+03   Large  2.380813e+02   65.97  Large 1229.80    7090 !|normal      3.951480e+02    0.00  3.951480e+02   -0.00   0.00   58.14     256  |normal      3.951480e+02   -0.00  3.951480e+02    0.00   0.00   73.42     159  |--                    --     inf            --     inf     --      --      -- !|other       4.810754e+03   Large  2.380813e+02   65.97  Large  399.43    7414 !|--                    --     inf            --     inf     --      --      -- !|normal      3.951482e+02    0.00  3.951482e+02   -0.00   0.00    9.85     137  |
Syn40M04                 841   320  2105 max  9.017511e+02  9.017511e+02  |normal      9.017601e+02    0.00  9.017511e+02   -0.00   0.00   14.24      39  |normal      9.017601e+02    0.00  9.017511e+02   -0.00   0.00  493.84    2686  |normal      9.017601e+02    0.00  9.017511e+02   -0.00   0.00 1108.16     317  |timelim     9.017512e+02    0.00          -inf     inf    inf 3599.85   62600  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      9.017514e+02    0.00  9.017511e+02   -0.00   0.00   64.61     210  |other       9.140003e+02    1.36          -inf     inf    inf 1773.96  200001 !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      9.017582e+02    0.00  9.017582e+02   -0.00   0.00    1.91     127  |normal      9.017512e+02    0.00  9.017512e+02   -0.00   0.00    6.18     115  |other       7.847172e+03  770.21  8.324582e+02    8.32 842.65 1531.17    6933 !|other       7.728945e+03  757.10  7.951485e+02   13.41 872.01 1566.94    6676 !|normal      9.017511e+02   -0.00  9.017511e+02    0.00   0.00  140.11     408  |normal      9.013164e+02   -0.05  9.013164e+02    0.05   0.00  172.44     313  |--                    --     inf            --     inf     --      --      -- !|other       7.727956e+03  756.99  7.787081e+02   15.80 892.41  404.62    6410 !|--                    --     inf            --     inf     --      --      -- !|normal      9.017514e+02    0.00  9.017511e+02   -0.00   0.00   38.78     368  |
exp_random_10_10_10_1    112   100   111 min -1.947809e+01 -1.947809e+01  |normal     -1.947828e+01    0.00 -1.947809e+01    0.00   0.00    1.69       1  |normal     -1.947828e+01    0.00 -1.947809e+01    0.00   0.00    1.54       1  |normal     -1.947828e+01    0.00 -1.947809e+01    0.00   0.00   37.89       1  |timelim    -1.947809e+01   -0.00           inf     inf    inf 3600.12   64266  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal     -1.947809e+01   -0.00 -1.947809e+01    0.00   0.00   45.70    7345  |normal     -1.947809e+01   -0.00 -1.947809e+01    0.00   0.00  148.40   12159  |normal     -1.947808e+01   -0.00 -1.947809e+01    0.00  -0.00   88.91     764  |other      -2.116569e+01    8.66           inf     inf    inf  834.96  200001 !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal     -1.947809e+01    0.00 -1.947809e+01   -0.00   0.00   12.07    8833  |normal     -1.947809e+01   -0.00 -1.947809e+01    0.00   0.00   96.72    3601  |normal     -1.947810e+01    0.00 -1.947810e+01   -0.00   0.00   24.33     213  |normal     -1.947809e+01   -0.00 -1.947809e+01    0.00   0.00   26.41     373  |timelim    -1.948255e+01    0.02 -1.947809e+01    0.00   0.02 3637.10   83896  |timelim    -1.953568e+01    0.30 -1.947809e+01    0.00   0.30 3629.34   56992  |normal     -1.947809e+01   -0.00 -1.947809e+01    0.00   0.00  459.01    2477  |normal               inf     inf           inf     inf   0.00    9.21       0 !|--                    --     inf            --     inf     --      --      -- !|timelim    -1.957232e+01    0.48 -1.947809e+01    0.00   0.48 3623.10   51719  |--                    --     inf            --     inf     --      --      -- !|normal     -1.947824e+01    0.00 -1.947806e+01    0.00   0.00  414.93    3683  |
exp_random_10_10_10_10   112   100   111 min -2.382037e+01 -2.382037e+01  |normal     -2.382061e+01    0.00 -2.382037e+01    0.00   0.00    0.35       1  |normal     -1.330386e+01  -79.05 -1.330373e+01   79.05   0.00    1.43       1  |normal     -2.382061e+01    0.00 -2.382037e+01    0.00   0.00   12.45       1  |timelim    -1.330373e+01  -79.05           inf     inf    inf 3600.08   73477  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal     -2.382085e+01    0.00 -2.382037e+01    0.00   0.00   20.41    3083  |normal     -1.330373e+01  -79.05 -1.330373e+01   79.05   0.00   93.40    7260  |normal     -2.382013e+01   -0.00 -2.382037e+01    0.00  -0.00   18.87     110  |other      -1.478954e+01  -61.06           inf     inf    inf  830.36  200001 !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal     -1.330373e+01  -79.05 -1.330373e+01   79.05   0.00    9.21    7259  |normal     -1.330372e+01  -79.05 -1.330372e+01   79.05   0.00   77.33    3123  |normal     -1.330373e+01  -79.05 -1.330373e+01   79.05   0.00   44.66     479  |normal     -1.330368e+01  -79.05 -1.330368e+01   79.05   0.00   21.96     439  |normal     -2.382037e+01   -0.00 -2.382037e+01    0.00   0.00  299.44    7997  |normal     -1.330373e+01  -79.05 -1.330373e+01   79.05   0.00 2751.18   40516  |normal     -2.382054e+01    0.00 -2.382037e+01    0.00   0.00   65.57     390  |normal               inf     inf           inf     inf   0.00   27.33       2 !|--                    --     inf            --     inf     --      --      -- !|normal     -1.330372e+01  -79.05 -1.330372e+01   79.05   0.00 2981.24   44588  |--                    --     inf            --     inf     --      --      -- !|normal     -1.330373e+01  -79.05 -1.330372e+01   79.05   0.00   93.27     819  |
exp_random_10_10_10_2    112   100   111 min -2.887187e+01 -2.887187e+01  |normal     -2.887216e+01    0.00 -2.887187e+01   -0.00   0.00    0.34       1  |normal     -1.808165e+01  -59.68 -1.808146e+01   59.68   0.00    1.10       1  |normal     -2.887216e+01    0.00 -2.887187e+01   -0.00   0.00   13.46       1  |timelim    -1.808146e+01  -59.68           inf     inf    inf 3600.09   72930  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal     -2.887187e+01    0.00 -2.887187e+01   -0.00   0.00   43.90    6699  |normal     -1.808146e+01  -59.68 -1.808146e+01   59.68   0.00  115.12    9432  |normal     -2.887187e+01    0.00 -2.887187e+01   -0.00  -0.00   19.92     131  |other      -2.106505e+01  -37.06           inf     inf    inf  833.32  200001 !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal     -1.808148e+01  -59.68 -1.808148e+01   59.68   0.00   11.97    9831  |normal     -1.808146e+01  -59.68 -1.808146e+01   59.68   0.00   62.95    2665  |normal     -1.808148e+01  -59.68 -1.808148e+01   59.68   0.00   48.33     625  |normal     -1.808145e+01  -59.68 -1.808145e+01   59.68   0.00   33.24     483  |normal     -2.887187e+01    0.00 -2.887187e+01   -0.00   0.00  902.80   22968  |normal     -1.808146e+01  -59.68 -1.808146e+01   59.68   0.00 3036.02   50436  |normal     -2.887187e+01    0.00 -2.887187e+01   -0.00   0.00   60.88     276  |normal               inf     inf           inf     inf   0.00    7.14       2 !|--                    --     inf            --     inf     --      --      -- !|normal     -1.808145e+01  -59.68 -1.808143e+01   59.68   0.00 2729.24   42275  |--                    --     inf            --     inf     --      --      -- !|normal     -1.808146e+01  -59.68 -1.808146e+01   59.68   0.00  222.31    2129  |
exp_random_10_10_10_3    112   100   111 min -3.152940e+01 -3.152940e+01  |normal     -3.152972e+01    0.00 -3.152940e+01   -0.00   0.00    0.86       1  |normal     -2.326924e+01  -35.50 -2.326901e+01   35.50   0.00    1.14       1  |normal     -3.152972e+01    0.00 -3.152940e+01   -0.00   0.00   11.33       1  |timelim    -2.326901e+01  -35.50           inf     inf    inf 3600.09   64772  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal     -3.152940e+01    0.00 -3.152940e+01   -0.00   0.00    8.28    1210  |normal     -2.326901e+01  -35.50 -2.326901e+01   35.50   0.00   24.20    1760  |normal     -3.152931e+01   -0.00 -3.152940e+01   -0.00  -0.00   22.95     177  |other      -2.386504e+01  -32.12           inf     inf    inf  833.61  200001 !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal     -2.326901e+01  -35.50 -2.326901e+01   35.50   0.00    4.49    2147  |normal     -2.326901e+01  -35.50 -2.326901e+01   35.50   0.00   52.99    2727  |normal     -2.326902e+01  -35.50 -2.326902e+01   35.50   0.00   12.14      39  |normal     -2.326900e+01  -35.50 -2.326900e+01   35.50   0.00    5.60      13  |timelim    -3.158368e+01    0.17 -3.152940e+01   -0.00   0.17 3639.40   82759  |normal     -2.326901e+01  -35.50 -2.326901e+01   35.50   0.00  266.28    4039  |normal     -3.152940e+01    0.00 -3.152940e+01   -0.00   0.00 1471.84    7379  |normal               inf     inf           inf     inf   0.00    6.45       0 !|--                    --     inf            --     inf     --      --      -- !|normal     -2.326901e+01  -35.50 -2.326901e+01   35.50   0.00  492.25    8990  |--                    --     inf            --     inf     --      --      -- !|normal     -2.326901e+01  -35.50 -2.326901e+01   35.50   0.00   48.98     281  |
exp_random_10_10_10_4    112   100   111 min -3.150391e+01 -3.150391e+01  |normal     -3.150422e+01    0.00 -3.150391e+01    0.00   0.00    0.49       1  |normal     -2.791055e+01  -12.87 -2.791028e+01   12.88   0.00    0.90       1  |normal     -3.150422e+01    0.00 -3.150391e+01    0.00   0.00   20.61       1  |timelim    -2.791028e+01  -12.88           inf     inf    inf 3600.09   70921  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal     -3.150391e+01   -0.00 -3.150391e+01    0.00   0.00   27.29    4229  |normal     -2.791028e+01  -12.88 -2.791028e+01   12.88   0.00   37.01    2731  |normal     -3.150391e+01   -0.00 -3.150391e+01    0.00  -0.00  114.39    1115  |other      -3.005750e+01   -4.81           inf     inf    inf  835.91  200001 !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal     -2.791028e+01  -12.88 -2.791028e+01   12.88   0.00    5.90    3113  |normal     -2.791027e+01  -12.88 -2.791027e+01   12.88   0.00   69.38    3521  |normal     -2.791031e+01  -12.88 -2.791031e+01   12.88   0.00   20.33      85  |normal     -2.791027e+01  -12.88 -2.791027e+01   12.88   0.00    6.15      73  |timelim    -3.168211e+01    0.57 -3.150391e+01    0.00   0.57 3637.73   83009  |normal     -2.791028e+01  -12.88 -2.791028e+01   12.88   0.00 2402.59   33821  |normal     -3.150391e+01   -0.00 -3.150391e+01    0.00   0.00 1952.28   10483  |normal               inf     inf           inf     inf   0.00    1.24       2 !|--                    --     inf            --     inf     --      --      -- !|normal     -2.791027e+01  -12.88 -2.791026e+01   12.88   0.00 1289.80   20257  |--                    --     inf            --     inf     --      --      -- !|normal     -2.791026e+01  -12.88 -2.791026e+01   12.88   0.00   54.30     328  |
