                         Direction  NumberOfDiscreteVariables  NumberOfEquations  NumberOfNonZeros  NumberOfNonlinearNonZeros  NumberOfVariables  KnownPrimalBound  KnownDualBound   Fail FailReason
exp_random_5_5_10_8            1.0                       25.0               31.0             336.0                       25.0               37.0        -12.757320      -12.757320  False           
exp_random_5_5_10_9            1.0                       25.0               31.0             336.0                       25.0               37.0        -18.259910      -18.259910  False           
exp_random_5_5_5_1             1.0                       25.0               31.0             206.0                       25.0               32.0        -15.169130      -15.169130  False           
exp_random_5_5_5_10            1.0                       25.0               31.0             206.0                       25.0               32.0         -7.044731       -7.044731  False           
exp_random_5_5_5_2             1.0                       25.0               31.0             206.0                       25.0               32.0        -16.190780      -16.190780  False           
exp_random_5_5_5_3             1.0                       25.0               31.0             206.0                       25.0               32.0        -19.587570      -19.587570  False           
exp_random_5_5_5_4             1.0                       25.0               31.0             206.0                       25.0               32.0        -19.925520      -19.925520  False           
exp_random_5_5_5_5             1.0                       25.0               31.0             206.0                       25.0               32.0        -18.610780      -18.610780  False           
exp_random_5_5_5_6             1.0                       25.0               31.0             206.0                       25.0               32.0        -15.319840      -15.319840  False           
exp_random_5_5_5_7             1.0                       25.0               31.0             206.0                       25.0               32.0        -10.848850      -10.848850  False           
exp_random_5_5_5_8             1.0                       25.0               31.0             206.0                       25.0               32.0         -8.019627       -8.019627  False           
exp_random_5_5_5_9             1.0                       25.0               31.0             206.0                       25.0               32.0        -16.593810      -16.593810  False           
LogReg_10_20_1_1               1.0                       38.0              123.0             601.0                       80.0              112.0          6.359345        6.359345  False           
LogReg_10_20_1_10              1.0                       38.0              123.0             601.0                       80.0              112.0          6.308857        6.308857  False           
LogReg_10_20_1_2               1.0                       38.0              123.0             601.0                       80.0              112.0          6.326293        6.326293  False           
LogReg_10_20_1_3               1.0                       38.0              123.0             601.0                       80.0              112.0          6.330070        6.330070  False           
LogReg_10_20_1_4               1.0                       38.0              123.0             601.0                       80.0              112.0          6.351796        6.351796  False           
LogReg_10_20_1_5               1.0                       38.0              123.0             601.0                       80.0              112.0          6.366267        6.366267  False           
LogReg_10_20_1_6               1.0                       38.0              123.0             601.0                       80.0              112.0          6.355014        6.355014  False           
LogReg_10_20_1_7               1.0                       38.0              123.0             601.0                       80.0              112.0          6.417637        6.417637  False           
LogReg_10_20_1_8               1.0                       38.0              123.0             601.0                       80.0              112.0          6.382450        6.382450  False           
LogReg_10_20_1_9               1.0                       38.0              123.0             601.0                       80.0              112.0          6.326047        6.326047  False           
LogReg_10_20_2_1               1.0                       38.0              123.0             601.0                       80.0              112.0          6.356514        6.356514  False           
LogReg_10_20_2_10              1.0                       38.0              123.0             601.0                       80.0              112.0          6.329676        6.329676  False           
LogReg_10_20_2_2               1.0                       38.0              123.0             601.0                       80.0              112.0          6.330507        6.330507  False           
LogReg_10_20_2_3               1.0                       38.0              123.0             601.0                       80.0              112.0          6.336039        6.336039  False           
LogReg_10_20_2_4               1.0                       38.0              123.0             601.0                       80.0              112.0          6.348826        6.348826  False           
LogReg_10_20_2_5               1.0                       38.0              123.0             601.0                       80.0              112.0          6.380554        6.380554  False           
LogReg_10_20_2_6               1.0                       38.0              123.0             601.0                       80.0              112.0          6.335743        6.335743  False           
LogReg_10_20_2_7               1.0                       38.0              123.0             601.0                       80.0              112.0          6.383986        6.383986  False           
LogReg_10_20_2_8               1.0                       38.0              123.0             601.0                       80.0              112.0          6.378853        6.378853  False           
LogReg_10_20_2_9               1.0                       38.0              123.0             601.0                       80.0              112.0          6.337674        6.337674  False           
LogReg_2_20_1_1                1.0                       38.0              123.0             441.0                       80.0              104.0         10.943480       10.943480  False           
LogReg_2_20_1_10               1.0                       38.0              123.0             441.0                       80.0              104.0          9.715341        9.715341  False           
LogReg_2_20_1_2                1.0                       38.0              123.0             441.0                       80.0              104.0         11.292000       11.292000  False           
LogReg_2_20_1_3                1.0                       38.0              123.0             441.0                       80.0              104.0         10.619640       10.619640  False           
LogReg_2_20_1_4                1.0                       38.0              123.0             441.0                       80.0              104.0         11.152020       11.152020  False           
LogReg_2_20_1_5                1.0                       38.0              123.0             441.0                       80.0              104.0         12.208740       12.208740  False           
LogReg_2_20_1_6                1.0                       38.0              123.0             441.0                       80.0              104.0         11.379670       11.379670  False           
LogReg_2_20_1_7                1.0                       38.0              123.0             441.0                       80.0              104.0         12.876520       12.876520  False           
LogReg_2_20_1_8                1.0                       38.0              123.0             441.0                       80.0              104.0         12.073830       12.073830  False           
LogReg_2_20_1_9                1.0                       38.0              123.0             441.0                       80.0              104.0         12.013080       12.013080  False           
LogReg_2_20_2_1                1.0                       38.0              123.0             441.0                       80.0              104.0         10.151480       10.151480  False           
LogReg_2_20_2_10               1.0                       38.0              123.0             441.0                       80.0              104.0         11.543280       11.543280  False           
LogReg_2_20_2_2                1.0                       38.0              123.0             441.0                       80.0              104.0         10.608830       10.608830  False           
LogReg_2_20_2_3                1.0                       38.0              123.0             441.0                       80.0              104.0          9.888148        9.888148  False           
LogReg_2_20_2_4                1.0                       38.0              123.0             441.0                       80.0              104.0         11.941330       11.941330  False           
LogReg_2_20_2_5                1.0                       38.0              123.0             441.0                       80.0              104.0         11.445560       11.445560  False           
LogReg_2_20_2_6                1.0                       38.0              123.0             441.0                       80.0              104.0         10.557850       10.557850  False           
LogReg_2_20_2_7                1.0                       38.0              123.0             441.0                       80.0              104.0         12.355380       12.355380  False           
LogReg_2_20_2_8                1.0                       38.0              123.0             441.0                       80.0              104.0         11.377500       11.377500  False           
LogReg_2_20_2_9                1.0                       38.0              123.0             441.0                       80.0              104.0         11.142690       11.142690  False           
LogReg_5_20_1_1                1.0                       38.0              123.0             501.0                       80.0              107.0          8.293765        8.293765  False           
LogReg_5_20_1_10               1.0                       38.0              123.0             501.0                       80.0              107.0          9.057874        9.057874  False           
LogReg_5_20_1_2                1.0                       38.0              123.0             501.0                       80.0              107.0          8.908182        8.908182  False           
LogReg_5_20_1_3                1.0                       38.0              123.0             501.0                       80.0              107.0          8.814725        8.814725  False           
LogReg_5_20_1_4                1.0                       38.0              123.0             501.0                       80.0              107.0          8.341778        8.341778  False           
LogReg_5_20_1_5                1.0                       38.0              123.0             501.0                       80.0              107.0          8.361121        8.361121  False           
LogReg_5_20_1_6                1.0                       38.0              123.0             501.0                       80.0              107.0          8.432855        8.432855  False           
LogReg_5_20_1_7                1.0                       38.0              123.0             501.0                       80.0              107.0          7.877051        7.877051  False           
LogReg_5_20_1_8                1.0                       38.0              123.0             501.0                       80.0              107.0          7.722903        7.722903  False           
LogReg_5_20_1_9                1.0                       38.0              123.0             501.0                       80.0              107.0          8.644887        8.644887  False           
LogReg_5_20_2_1                1.0                       38.0              123.0             501.0                       80.0              107.0          8.166474        8.166474  False           
LogReg_5_20_2_10               1.0                       38.0              123.0             501.0                       80.0              107.0          9.022299        9.022299  False           
LogReg_5_20_2_2                1.0                       38.0              123.0             501.0                       80.0              107.0          8.516823        8.516823  False           
LogReg_5_20_2_3                1.0                       38.0              123.0             501.0                       80.0              107.0          8.665151        8.665151  False           
LogReg_5_20_2_4                1.0                       38.0              123.0             501.0                       80.0              107.0          8.355806        8.355806  False           
LogReg_5_20_2_5                1.0                       38.0              123.0             501.0                       80.0              107.0          8.068509        8.068509  False           
LogReg_5_20_2_6                1.0                       38.0              123.0             501.0                       80.0              107.0          8.543609        8.543609  False           
LogReg_5_20_2_7                1.0                       38.0              123.0             501.0                       80.0              107.0          7.694416        7.694416  False           
LogReg_5_20_2_8                1.0                       38.0              123.0             501.0                       80.0              107.0          7.983203        7.983203  False           
LogReg_5_20_2_9                1.0                       38.0              123.0             501.0                       80.0              107.0          8.611039        8.611039  False           
kClus_3_10_2_1                 1.0                       30.0               46.0             195.0                       60.0               47.0          0.328894        0.328894  False           
kClus_3_10_2_10                1.0                       30.0               46.0             195.0                       60.0               47.0          0.265061        0.265061  False           
kClus_3_10_2_2                 1.0                       30.0               46.0             195.0                       60.0               47.0          0.198778        0.198778  False           
kClus_3_10_2_3                 1.0                       30.0               46.0             195.0                       60.0               47.0          0.352235        0.352235  False           
kClus_3_10_2_4                 1.0                       30.0               46.0             195.0                       60.0               47.0          0.300697        0.300697  False           
kClus_3_10_2_5                 1.0                       30.0               46.0             195.0                       60.0               47.0          0.319913        0.319913  False           
kClus_3_10_2_6                 1.0                       30.0               46.0             195.0                       60.0               47.0          0.555430        0.555430  False           
kClus_3_10_2_7                 1.0                       30.0               46.0             195.0                       60.0               47.0          0.498575        0.498575  False           
kClus_3_10_2_8                 1.0                       30.0               46.0             195.0                       60.0               47.0          0.317204        0.317204  False           
kClus_3_10_2_9                 1.0                       30.0               46.0             195.0                       60.0               47.0          0.195216        0.195216  False           
kClus_3_10_3_1                 1.0                       30.0               46.0             225.0                       90.0               50.0          0.983639        0.983639  False           
kClus_3_10_3_10                1.0                       30.0               46.0             225.0                       90.0               50.0          0.825554        0.825554  False           
kClus_3_10_3_2                 1.0                       30.0               46.0             225.0                       90.0               50.0          0.495284        0.495284  False           
kClus_3_10_3_3                 1.0                       30.0               46.0             225.0                       90.0               50.0          0.496074        0.496074  False           
kClus_3_10_3_4                 1.0                       30.0               46.0             225.0                       90.0               50.0          0.903618        0.903618  False           
kClus_3_10_3_5                 1.0                       30.0               46.0             225.0                       90.0               50.0          0.824157        0.824157  False           
kClus_3_10_3_6                 1.0                       30.0               46.0             225.0                       90.0               50.0          0.911651        0.911651  False           
kClus_3_10_3_7                 1.0                       30.0               46.0             225.0                       90.0               50.0          0.584805        0.584805  False           
kClus_3_10_3_8                 1.0                       30.0               46.0             225.0                       90.0               50.0          0.710438        0.710438  False           
kClus_3_10_3_9                 1.0                       30.0               46.0             225.0                       90.0               50.0          0.793323        0.793323  False           
